workshop_id|bucket|asset_type|title|source_path|status|notes|validation_issues
01|Core_Resources|pdf|Workshop 01 Introduction|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 01 - Introduction.pdf|ok||
02|Core_Resources|pdf|Workshop 02 Setting Financial Goals|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 02 - Setting Financial Goals.pdf|ok||
03|Core_Resources|pdf|Workshop 03 Creating a Budget|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 03 - Creating a Budget.pdf|ok||
04|Core_Resources|pdf|Workshop 04 Banking Basics|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 04 - Banking Basics.pdf|ok||
05|Core_Resources|pdf|Workshop 05 Debit Cards, ATMs, Online Banking|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 05 - Debit Cards, ATMs, Online Banking.pdf|ok||
06|Core_Resources|pdf|Workshop 06 Credit & Loans|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 06 - Credit & Loans.pdf|ok||
07|Core_Resources|pdf|Workshop 07 Debt & Tools|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 07 - Debt & Tools.pdf|ok||
08|Core_Resources|pdf|Workshop 08 Mental Health, Relationships & Money|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 08 - Mental Health, Relationships & Money.pdf|ok||
09|Core_Resources|pdf|Workshop 09 Tax Returns|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 09 - Tax Returns.pdf|ok||
10|Core_Resources|pdf|Workshop 10 Savings Accounts & Goals|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 10 - Savings Accounts & Goals.pdf|ok||
11|Core_Resources|pdf|Workshop 11 Course Graduation|Parts/FG:SG_Splits/Wksp/Facilitator Guide/Wksp PDFs/Workshop 11 - Course Graduation.pdf|ok||
01|Core_Resources|pdf|Workshop 01 Introduction & Course Overview|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 01 - Introduction & Course Overview.pdf|ok||
02|Core_Resources|pdf|Workshop 02 Setting Financial Goals; Person Directed Planning|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 02 - Setting Financial Goals; Person Directed Planning.pdf|ok||
03|Core_Resources|pdf|Workshop 03 Creating a Budget & Resources to Save Money|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 03 - Creating a Budget & Resources to Save Money.pdf|ok||
04|Core_Resources|pdf|Workshop 04 Banking Basics & Checking Accounts|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 04 - Banking Basics & Checking Accounts.pdf|ok||
05|Core_Resources|pdf|Workshop 05 Debit Cards, ATMs, Online Banking & Money Safety|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 05 - Debit Cards, ATMs, Online Banking & Money Safety.pdf|ok||
06|Core_Resources|pdf|Workshop 06 Credit & Loans|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 06 - Credit & Loans.pdf|ok||
07|Core_Resources|pdf|Workshop 07 Debt & Tools to Get Out of It|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 07 - Debt & Tools to Get Out of It.pdf|ok||
08|Core_Resources|pdf|Workshop 08 Mental Health, Relationships & Money; Financial Crisis Planning|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 08 - Mental Health, Relationships & Money; Financial Crisis Planning.pdf|ok||
09|Core_Resources|pdf|Workshop 09 How to File a Tax Return & Resources for Doing So|Parts/FG:SG_Splits/Wksp/Student Guide/Wksps/Workshop 09 - How to File a Tax Return & Resources for Doing So.pdf|ok||
||docx|Glossary of Financial Terms|Parts/Teaching Materials/Facilitator & Student Guides/Glossaries/Glossary of Financial Terms.docx|review||missing_workshop_id;missing_bucket
||pdf|Glossary of Financial Terms|Parts/Teaching Materials/Facilitator & Student Guides/Glossaries/Glossary of Financial Terms.pdf|review||missing_workshop_id;missing_bucket
||pdf|Glossary of Terms on Poverty|Parts/Teaching Materials/Facilitator & Student Guides/Glossaries/Glossary of Terms on Poverty.pdf|review||missing_workshop_id;missing_bucket
||html|financial terms glossary.filtered|Parts/Teaching Materials/Facilitator & Student Guides/Glossaries/financial-terms-glossary.filtered.html|review||missing_workshop_id;missing_bucket
||html|money basics student glossary|Parts/Teaching Materials/Facilitator & Student Guides/Glossaries/money-basics-student-glossary.html|review||missing_workshop_id;missing_bucket
||pdf|Money Basics Facilitator Guide|Parts/Teaching Materials/Facilitator & Student Guides/Money Basics Facilitator Guide.pdf|review||missing_workshop_id;missing_bucket
||docx|Money Basics Facilitator Guide[Final]|Parts/Teaching Materials/Facilitator & Student Guides/Money Basics Facilitator Guide[Final].docx|review||missing_workshop_id;missing_bucket
||docx|Money Basics Student Guide [Final]|Parts/Teaching Materials/Facilitator & Student Guides/Money Basics Student Guide [Final].docx|review||missing_workshop_id;missing_bucket
||pdf|Money Basics Student Guide|Parts/Teaching Materials/Facilitator & Student Guides/Money Basics Student Guide.pdf|review||missing_workshop_id;missing_bucket
||pdf|Glossary of Financial Terms|Parts/Teaching Materials/Glossaries/Glossary of Financial Terms.pdf|review||missing_workshop_id;missing_bucket
||pdf|Glossary of Terms on Poverty|Parts/Teaching Materials/Glossaries/Glossary of Terms on Poverty.pdf|review||missing_workshop_id;missing_bucket
||pdf|ODHS Equity Glossary|Parts/Teaching Materials/Glossaries/ODHS Equity Glossary.pdf|review||missing_workshop_id;missing_bucket
01|Handouts|pdf|1. Poverty and Hunger in America|Parts/Teaching Materials/Workshop 1/Handouts/1. Poverty and Hunger in America.pdf|ok||
01|Handouts|pdf|2. Steps Toward Financial Resilience|Parts/Teaching Materials/Workshop 1/Handouts/2. Steps Toward Financial Resilience.pdf|ok||
01|Handouts|pdf|3. Poverty and Intersectionality in Oregon|Parts/Teaching Materials/Workshop 1/Handouts/3. Poverty and Intersectionality in Oregon.pdf|ok||
01|Handouts|pdf|4. Hidden Rules Among Classes|Parts/Teaching Materials/Workshop 1/Handouts/4. Hidden Rules Among Classes.pdf|ok||
01|Handouts|pdf|5. How Poverty is Measured in the US|Parts/Teaching Materials/Workshop 1/Handouts/5. How Poverty is Measured in the US.pdf|ok||
01|Handouts|pdf|6. The American Dream of upward mobility is broken|Parts/Teaching Materials/Workshop 1/Handouts/6. The _American Dream_ of upward mobility is broken.pdf|ok||
01|Handouts|pdf|7. White Privilege Invisible Knapsack|Parts/Teaching Materials/Workshop 1/Handouts/7. White Privilege Invisible Knapsack.pdf|ok||
01|Handouts|pdf|Financial Literacy & African Americans Bridging the Gap|Parts/Teaching Materials/Workshop 1/Handouts/Financial Literacy & African Americans_ Bridging the Gap.pdf|ok||
01|Handouts|pdf|Workshop 1 Worksheets (extra)|Parts/Teaching Materials/Workshop 1/Handouts/Workshop 1 Worksheets (extra).pdf|ok||
01|Handouts|pdf|Workshop 1 Worksheets|Parts/Teaching Materials/Workshop 1/Handouts/Workshop 1 Worksheets.pdf|ok||
01|Core_Resources|pptx|Money Basics PPT Workshop 1|Parts/Teaching Materials/Workshop 1/Money Basics PPT Workshop 1.pptx|ok||
01|Additional_Resources|pdf|1. Tips for Managing Money When You Live With Mental Health Challenges|Parts/Teaching Materials/Workshop 1/Resources/1. Tips for Managing Money When You Live With Mental Health Challenges.pdf|ok||
01|Additional_Resources|pdf|10. Brief History of Race, Racism & Colonialism|Parts/Teaching Materials/Workshop 1/Resources/10. Brief History of Race, Racism & Colonialism.pdf|ok||
01|Additional_Resources|pdf|11. Unaffordable America. Poverty, Housing and Eviction|Parts/Teaching Materials/Workshop 1/Resources/11. Unaffordable America. Poverty, Housing and Eviction.pdf|ok||
01|Additional_Resources|pdf|12. FAQs on Problem Gambling|Parts/Teaching Materials/Workshop 1/Resources/12. FAQs on Problem Gambling.pdf|ok||
01|Additional_Resources|pdf|13. Financial Toolkit for Problem Gamblers|Parts/Teaching Materials/Workshop 1/Resources/13. Financial Toolkit for Problem Gamblers.pdf|ok||
01|Additional_Resources|pdf|14. Financial Strategies for Loved Ones of Gamblers|Parts/Teaching Materials/Workshop 1/Resources/14. Financial Strategies for Loved Ones of Gamblers.pdf|ok||
01|Additional_Resources|pdf|15. Dismantling the Poverty Trap Article|Parts/Teaching Materials/Workshop 1/Resources/15. Dismantling the Poverty Trap Article.pdf|ok||
01|Additional_Resources|pdf|16. Supplemental Poverty Measure|Parts/Teaching Materials/Workshop 1/Resources/16. Supplemental Poverty Measure.pdf|ok||
01|Additional_Resources|pdf|2. How to Practice Mindfulness on a Budget|Parts/Teaching Materials/Workshop 1/Resources/2. How to Practice Mindfulness on a Budget.pdf|ok||
01|Additional_Resources|pdf|3. How to Reduce Financial Stress|Parts/Teaching Materials/Workshop 1/Resources/3. How to Reduce Financial Stress.pdf|ok||
01|Additional_Resources|pdf|4. Income Inequality in America|Parts/Teaching Materials/Workshop 1/Resources/4. Income Inequality in America.pdf|ok||
01|Additional_Resources|pdf|5. Poverty in America Statistics|Parts/Teaching Materials/Workshop 1/Resources/5. Poverty in America Statistics.pdf|ok||
01|Additional_Resources|pdf|6. Data Illustrating the Intersectional Nature of Poverty|Parts/Teaching Materials/Workshop 1/Resources/6. Data Illustrating the Intersectional Nature of Poverty.pdf|ok||
01|Additional_Resources|pdf|8. Race and the lack of intergenerational economic mobility in the US|Parts/Teaching Materials/Workshop 1/Resources/8. Race and the lack of intergenerational economic mobility in the US.pdf|ok||
01|Additional_Resources|pdf|9. Displacement in Portland|Parts/Teaching Materials/Workshop 1/Resources/9. Displacement in Portland.pdf|ok||
01|Additional_Resources|pdf|Workshop 1 Additional Resources|Parts/Teaching Materials/Workshop 1/Resources/Workshop 1 Additional Resources.pdf|ok||
10|Handouts|pdf|1. How To Save For Your Future|Parts/Teaching Materials/Workshop 10/Handouts/1. How To Save For Your Future.pdf|ok||
10|Handouts|pdf|2. Individual Development Account Fact Sheet|Parts/Teaching Materials/Workshop 10/Handouts/2. Individual Development Account Fact Sheet.pdf|ok||
10|Handouts|docx|3. IDA Basics & Resources|Parts/Teaching Materials/Workshop 10/Handouts/3. IDA Basics & Resources.docx|ok||
10|Handouts|pdf|3. IDA Basics & Resources|Parts/Teaching Materials/Workshop 10/Handouts/3. IDA Basics & Resources.pdf|ok||
10|Handouts|pdf|Individual Development Accounts FAQs|Parts/Teaching Materials/Workshop 10/Handouts/Individual Development Accounts FAQs.pdf|ok||
10|Handouts|pdf|Savings Tips|Parts/Teaching Materials/Workshop 10/Handouts/Savings Tips.pdf|ok||
