workshop_id,bucket,asset_type,title,source_path,status,notes
03,Additional_Resources,pdf,1. How to Make a Budget,Materials/_core_clean/Workshop_03/Additional_Resources/1. How to Make a Budget.pdf,ok,
03,Additional_Resources,pdf,10.  How to Buy a House with Low Income,Materials/_core_clean/Workshop_03/Additional_Resources/10.  How to Buy a House with Low Income.pdf,ok,
03,Additional_Resources,pdf,11. How To File For SSDI Benefits If Homeless,Materials/_core_clean/Workshop_03/Additional_Resources/11. How To File For SSDI Benefits If Homeless.pdf,ok,
03,Additional_Resources,pdf,12. SSI Ticket to Work and PASS Accounts,Materials/_core_clean/Workshop_03/Additional_Resources/12. SSI Ticket to Work and PASS Accounts.pdf,ok,
03,Additional_Resources,pdf,13. SSI Elibility Requirements and Asset Limits,Materials/_core_clean/Workshop_03/Additional_Resources/13. SSI Elibility Requirements and Asset Limits.pdf,ok,
03,Additional_Resources,pdf,2. Free Online Budgeting Tools,Materials/_core_clean/Workshop_03/Additional_Resources/2. Free Online Budgeting Tools.pdf,ok,
03,Additional_Resources,pdf,25 Ways to Live on Less,Materials/_core_clean/Workshop_03/Additional_Resources/25 Ways to Live on Less.pdf,ok,
03,Additional_Resources,pdf,3. How to Create a Successful Budget,Materials/_core_clean/Workshop_03/Additional_Resources/3. How to Create a Successful Budget.pdf,ok,
03,Additional_Resources,pdf,4. How to Create a Budget in Six Steps,Materials/_core_clean/Workshop_03/Additional_Resources/4. How to Create a Budget in Six Steps.pdf,ok,
03,Additional_Resources,pdf,5. 190 Online Resources for Saving Money,Materials/_core_clean/Workshop_03/Additional_Resources/5. 190 Online Resources for Saving Money.pdf,ok,
03,Additional_Resources,pdf,6. 10 Easy Ways to Save Money,Materials/_core_clean/Workshop_03/Additional_Resources/6. 10 Easy Ways to Save Money.pdf,ok,
03,Additional_Resources,pdf,7. 99 Great Ways to Save Money,Materials/_core_clean/Workshop_03/Additional_Resources/7. 99 Great Ways to Save Money.pdf,ok,
03,Additional_Resources,pdf,8. No brainer Money Saving Tips,Materials/_core_clean/Workshop_03/Additional_Resources/8. No-brainer Money-Saving Tips.pdf,ok,
03,Additional_Resources,pdf,9. 11 Frugal Living Tips,Materials/_core_clean/Workshop_03/Additional_Resources/9. 11 Frugal Living Tips.pdf,ok,
03,Additional_Resources,pdf,Guide to SSI,Materials/_core_clean/Workshop_03/Additional_Resources/Guide to SSI.pdf,ok,
03,Additional_Resources,pdf,The Social Security Administration Red Book (2020),Materials/_core_clean/Workshop_03/Additional_Resources/The Social Security Administration Red Book (2020).pdf,ok,
03,Additional_Resources,pdf,Tips for Family Money Management,Materials/_core_clean/Workshop_03/Additional_Resources/Tips for Family Money Management.pdf,ok,
03,Additional_Resources,pdf,Tips for Successful Budgeting,Materials/_core_clean/Workshop_03/Additional_Resources/Tips for Successful Budgeting.pdf,ok,
03,Additional_Resources,pdf,Workshop 3 Additional Resources,Materials/_core_clean/Workshop_03/Additional_Resources/Workshop 3 Additional Resources.pdf,ok,
03,Core_Resources,pdf,Money Basics PPT Workshop 3,Materials/_core_clean/Workshop_03/Core_Resources/Slides/Money Basics PPT Workshop 3.pdf,ok,
03,Core_Resources,pdf,Student Guide Workshop 03 Creating a  Budget,Materials/_core_clean/Workshop_03/Core_Resources/Guides/Student_Guide-Workshop_03-Creating_a_ Budget.pdf,ok,
03,Handouts,pdf,1. Budgeting Apps,Materials/_core_clean/Workshop_03/Handouts/1. Budgeting Apps.pdf,ok,
03,Handouts,pdf,2. Budgeting Tips,Materials/_core_clean/Workshop_03/Handouts/2. Budgeting Tips.pdf,ok,
03,Handouts,pdf,3. Money Saving Resources Handout,Materials/_core_clean/Workshop_03/Handouts/3. Money Saving Resources Handout.pdf,ok,
03,Handouts,pdf,Fact Sheet Benefits Counseling,Materials/_core_clean/Workshop_03/Handouts/Fact-Sheet-Benefits-Counseling.pdf,ok,
03,Worksheets,pdf,Budget Worksheet 1,Materials/_core_clean/Workshop_03/Worksheets/Budget Worksheet 1.pdf,ok,
03,Worksheets,pdf,Budget Worksheet 2,Materials/_core_clean/Workshop_03/Worksheets/Budget Worksheet 2.pdf,ok,
03,Worksheets,pdf,Budget Worksheet 3,Materials/_core_clean/Workshop_03/Worksheets/Budget Worksheet 3.pdf,ok,
03,Worksheets,pdf,Budget Worksheet 4  Income & Expenses,Materials/_core_clean/Workshop_03/Worksheets/Budget Worksheet 4_ Income & Expenses.pdf,ok,
03,Worksheets,xlsx,Personal Balance Sheet,Materials/_core_clean/Workshop_03/Worksheets/Personal Balance Sheet.xlsx,ok,
03,Worksheets,xlsx,Personal Monthly Budget,Materials/_core_clean/Workshop_03/Worksheets/Personal Monthly Budget.xlsx,ok,
