source,dest,workshop,category,page_role,resource_role,result,source_type,review_reasons
main/rebuild/content/legacy/whole/Module 0/MB_FTS_ 0.docx,main/rebuild/content/workshops/workshop-00/resources/MB_FTS_ 0.docx,workshop-00,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Money Basics PPT Workshop 1.pdf,main/rebuild/content/workshops/workshop-01/resources/Money Basics PPT Workshop 1.pdf,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/MB_FTS_ 1.docx,main/rebuild/content/workshops/workshop-01/resources/MB_FTS_ 1.docx,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Money Basics PPT Workshop 1.pptx,main/rebuild/content/workshops/workshop-01/resources/Money Basics PPT Workshop 1.pptx,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/OR_WorkSystemsPresentation_20211006.pptx,main/rebuild/content/workshops/workshop-01/resources/OR_WorkSystemsPresentation_20211006.pptx,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Course Introduction/Creating Community Agreements.pdf,main/rebuild/content/workshops/workshop-01/resources/Course Introduction/Creating Community Agreements.pdf,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Course Introduction/Workshop 01 - Introduction.pdf,main/rebuild/content/workshops/workshop-01/resources/Course Introduction/Workshop 01 - Introduction.pdf,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Course Introduction/Trauma-Informed-Care-in-the-Classroom.pdf,main/rebuild/content/workshops/workshop-01/resources/Course Introduction/Trauma-Informed-Care-in-the-Classroom.pdf,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Course Introduction/Developing Community Agreements.pdf,main/rebuild/content/workshops/workshop-01/resources/Course Introduction/Developing Community Agreements.pdf,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Visuals/workshop packet image.png,main/rebuild/content/workshops/workshop-01/resources/Visuals/workshop packet image.png,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Visuals/2-768x512.jpg,main/rebuild/content/workshops/workshop-01/resources/Visuals/2-768x512.jpg,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Visuals/equity-apple-tree-1024x575.jpg,main/rebuild/content/workshops/workshop-01/resources/Visuals/equity-apple-tree-1024x575.jpg,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/Visuals/Wheel of Privilege and Power.png,main/rebuild/content/workshops/workshop-01/resources/Visuals/Wheel of Privilege and Power.png,workshop-01,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 1/SG:FG/W1_SG.pdf,main/rebuild/content/workshops/workshop-01/Student_Guide/W1_SG.pdf,workshop-01,Student_Guide,,,copied,whole_legacy,legacy_path_contains_colon
main/rebuild/content/legacy/whole/Module 1/SG:FG/W1_FG.pdf,main/rebuild/content/workshops/workshop-01/Facilitator_Guide/W1_FG.pdf,workshop-01,Facilitator_Guide,,,copied,whole_legacy,legacy_path_contains_colon
main/rebuild/content/legacy/whole/Module 10/23 Easy Ways To Save Money.docx,main/rebuild/content/workshops/workshop-10/resources/23 Easy Ways To Save Money.docx,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/A Beginner_s Guide to Saving Money.docx,main/rebuild/content/workshops/workshop-10/resources/A Beginner_s Guide to Saving Money.docx,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/MB_FTS_ 10.docx,main/rebuild/content/workshops/workshop-10/resources/MB_FTS_ 10.docx,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/How to Save Money On A Low Income.docx,main/rebuild/content/workshops/workshop-10/resources/How to Save Money On A Low Income.docx,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Workshop 10 - Savings Accounts & Goals.pdf,main/rebuild/content/workshops/workshop-10/resources/Workshop 10 - Savings Accounts & Goals.pdf,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Asset Building For Low-Income Families.docx,main/rebuild/content/workshops/workshop-10/resources/Asset Building For Low-Income Families.docx,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Workshop 10 - Savings Accounts & Savings Goals.pdf,main/rebuild/content/workshops/workshop-10/resources/Workshop 10 - Savings Accounts & Savings Goals.pdf,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Visuals/money trees.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/money trees.png,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Visuals/Screenshot 2025-10-29 at 2.03.55 PM.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/Screenshot 2025-10-29 at 2.03.55 PM.png,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Visuals/Screenshot 2025-10-29 at 10.26.47 AM.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/Screenshot 2025-10-29 at 10.26.47 AM.png,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Visuals/IDAs.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/IDAs.png,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Visuals/Budgeting Table.png,main/rebuild/content/workshops/workshop-10/resources/Visuals/Budgeting Table.png,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Sections ( PDF )/Savings_Accounts.pdf,main/rebuild/content/workshops/workshop-10/resources/Sections ( PDF )/Savings_Accounts.pdf,workshop-10,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg10.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg10.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg1.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg1.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg8.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg8.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg2.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg2.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg4.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg4.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg12.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg12.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg13.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg13.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg11.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg11.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg7.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg7.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg6.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg6.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg14.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg14.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg9.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg9.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg5.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg5.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PDFs/pg3.pdf,main/rebuild/content/workshops/workshop-10/Student_Guide/PDFs/pg3.pdf,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg5.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg5.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg1.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg1.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg9.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg9.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg2.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg2.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg4.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg4.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg7.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg7.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg12.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg12.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg8.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg8.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg11.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg11.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg6.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg6.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg3.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg3.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg13.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg13.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg10.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg10.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Student_Guide/Workshop_10/PNGs/pg14.png,main/rebuild/content/workshops/workshop-10/Student_Guide/PNGs/pg14.png,workshop-10,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 10/Facilitator Guide/Sections/Saving Money w: Limited Resources.pdf,main/rebuild/content/workshops/workshop-10/Facilitator_Guide/Sections/Saving Money w - Limited Resources.pdf,workshop-10,Facilitator_Guide,,resource,copied,whole_legacy,legacy_path_contains_colon
