workshop_id,bucket,asset_type,title,source_path,status,notes
00,,docx,MB FTS  0,main/rebuild/content/legacy/whole/Module 0/MB_FTS_ 0.docx,review,
01,Additional_Resources,pdf,1. Tips for Managing Money When You Live With Mental Health Challenges,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/1. Tips for Managing Money When You Live With Mental Health Challenges.pdf,ok,
01,Additional_Resources,pdf,"10. Brief History of Race, Racism & Colonialism","main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/10. Brief History of Race, Racism & Colonialism.pdf",ok,
01,Additional_Resources,pdf,"11. Unaffordable America. Poverty, Housing and Eviction","main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/11. Unaffordable America. Poverty, Housing and Eviction.pdf",ok,
01,Additional_Resources,pdf,12. FAQs on Problem Gambling,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/12. FAQs on Problem Gambling.pdf,ok,
01,Additional_Resources,pdf,13. Financial Toolkit for Problem Gamblers,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/13. Financial Toolkit for Problem Gamblers.pdf,ok,
01,Additional_Resources,pdf,14. Financial Strategies for Loved Ones of Gamblers,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/14. Financial Strategies for Loved Ones of Gamblers.pdf,ok,
01,Additional_Resources,pdf,15. Dismantling the Poverty Trap Article,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/15. Dismantling the Poverty Trap Article.pdf,ok,
01,Additional_Resources,pdf,16. Supplemental Poverty Measure,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/16. Supplemental Poverty Measure.pdf,ok,
01,Additional_Resources,pdf,2. How to Practice Mindfulness on a Budget,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/2. How to Practice Mindfulness on a Budget.pdf,ok,
01,Additional_Resources,pdf,3. How to Reduce Financial Stress,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/3. How to Reduce Financial Stress.pdf,ok,
01,Additional_Resources,pdf,4. Income Inequality in America,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/4. Income Inequality in America.pdf,ok,
01,Additional_Resources,pdf,5. Poverty in America Statistics,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/5. Poverty in America Statistics.pdf,ok,
01,Additional_Resources,pdf,6. Data Illustrating the Intersectional Nature of Poverty,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/6. Data Illustrating the Intersectional Nature of Poverty.pdf,ok,
01,Additional_Resources,pdf,7. Bruce’s Beach Systemic Racism and Reparations,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/7. Bruce’s Beach Systemic Racism and Reparations.pdf,ok,
01,Additional_Resources,pdf,8. Race and the lack of intergenerational economic mobility in the US,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/8. Race and the lack of intergenerational economic mobility in the US.pdf,ok,
01,Additional_Resources,pdf,9. Displacement in Portland,main/rebuild/content/legacy/parts/Teaching Materials/Workshop 1/Resources/9. Displacement in Portland.pdf,ok,
